Altnernative codes,BLEED_code,Collection_no,Gene Bank Accession,Genus,HTS Queue,ID confirmed,Identified by,Isolated,Material left,NHM,note,Paper,Preservation,Recieved in Oslo,Scraped,SEM info,Sent by,Sequences Recieved,Species,Bock2018::Author,Bock2018::Full,Sample.Location.Date::Coll_date,Sample.Location.Date::Collection_no,Sample.Location.Date::Collector,Sample.Location.Date::Country,Sample.Location.Date::Cruise details,Sample.Location.Date::Day,Sample.Location.Date::Depth 1,Sample.Location.Date::Depth 2,Sample.Location.Date::Location details,Sample.Location.Date::Month,Sample.Location.Date::Place,Sample.Location.Date::Standardized Lat,Sample.Location.Date::Standardized Long,Sample.Location.Date::Station_id,Sample.Location.Date::Year,Worms::Family,Worms::Order
,,,,,,,,,,,,,,,,,,,,"(Busk, 1884)","Cigclisula occlusa (Busk, 1884)",,,,,,,,,,,,,,,,,
42 (Field code BRY_SG_2019),1459,BRY_SG_2019_Sisters,,Puellina,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Cribrilinidae,Cheilostomatida
43 (Field code BRY_SG_2019),1460,BRY_SG_2019_Sisters,"MZ677672,MZ678054,OK244947",Parasmittina,20.8.2019 (RJSO),,"Gordon, Dennis, P.; Vieira, Leandro",3.7.2019 (RJSO) 14.8.2019 (RJSO),No,NHMO H 1967,"Singapore number 43
9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones

14.8.2019 (RJSO) 4.67

DPG email 19.3.2021
1460, 1498 (Singapore) = Parasmittina galerita
DPG 1460, 1498 (Singapore) = Parasmittina galerita
LV Parasmittina galerita Ryland & Hayward, 1992 
",Orr et al. Fall 2021 MS,100% ethanol,,27.9.2019 (LHL) 9.8.2019 (EDM LHL),"MHR.2977.BLEED.1460.tif
MHR.2977.BLEED.1460.txt
MHR.2978.BLEED.1460.tif
MHR.2978.BLEED.1460.txt

MHR.3013.BLEED.1460.tif
MHR.3013.BLEED.1460.txt
MHR.3014.BLEED.1460.tif
MHR.3014.BLEED.1460.txt",,22.10.2019 (RJSO),galerita,"Ryland & Hayward, 1992","PARASMITTINA GALERITA Ryland & Hayward, 1992",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Smittinidae,Cheilostomatida
44 (Field code BRY_SG_2019),1461,BRY_SG_2019_Sisters,,Celleporaria,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lepraliellidae,Cheilostomatida
45 (Field code BRY_SG_2019),1462,BRY_SG_2019_Sisters,,Plagioecia,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Plagioeciidae,Cyclostomatida
46 (Field code BRY_SG_2019),1463,BRY_SG_2019_Sisters,,Nevianipora,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Diaperoeciidae,Cyclostomatida
48 (Field code BRY_SG_2019),1464,BRY_SG_2019_Sisters,"MZ677633,MZ678008,OK244907",Metroperiella,20.8.2019 (RJSO),,"Vieira, Leandro; Gordon, Dennis, P.; Berning, Björn",14.8.2019 (RJSO),No,NHMO H 1922,"Singapore number 48 9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones

14.8.2019 (RJSO) Qubit 3.37


DPG identified as Codonellina but EDM changes on view of SEM to Calyptotheca

DPG email 19.3.2021
1464 (Singapore) probably Metroperiella montferrandii
",Orr et al. Fall 2021 MS,100% ethanol,,9.8.2019 (EDM LHL),"MHR.2985.BLEED.1464.tif
MHR.2985.BLEED.1464.txt
MHR.2986.BLEED.1464.tif
MHR.2986.BLEED.1464.txt",,22.10.2019 (RJSO),montferrandii,"(Audouin in Savigny, 1826)","Metroperiella montferrandii (Audouin in Savigny, 1826)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Bitectiporidae,Cheilostomatida
49 (Field code BRY_SG_2019),1465,BRY_SG_2019_Sisters,,Calloporidae,,,DPG,,,,too little material to both scape and have SEM,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,,
51 (Field code BRY_SG_2019),1466A,BRY_SG_2019_Sisters,,"Setosellina, Arthropoma, Parellisina curvirostris, Puellina, Celleporaria, Plagioecia sp.",,,DPG,,,,"1466A (the rock voucher)

Take SEM of Setosellina NEW SG RECORD (SG)",,100% ethanol,,,"MHR.3681.BLEED.1466.tif
MHR.3681.BLEED.1466.txt
MHR.3682.BLEED.1466.tif
MHR.3682.BLEED.1466.txt


MHR.3763.BLEED.1466A.tif
MHR.3763.BLEED.1466A.txt
MHR.3764.BLEED.1466A.tif
MHR.3764.BLEED.1466A.txt",,22.10.2019 (RJSO),constricta,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,,
51 (Field code BRY_SG_2019),1466B,BRY_SG_2019_Sisters,"MZ677508,MZ677857,OK244744",Arthropoma,20.8.2019 (RJSO),,"Gordon, Dennis, P.",3.7.2019 (RJSO) 9.8.2019 (RJSO),No ,NHMO H 1748,"First isolation failed (major failure 300 pre summer) 
Note take SEMs of other bryozoans on the rock for ID

9.8.2019 (RJSO) Qubit 2.95

NEW SG RECORD Arthropoma subarensis new species Jain et al. Raff Bull

LV: This is not Arthropoma, but a distinct genus (has porous ovicells) 
It is also distinct from Cribellopora by lacking complex pseudopores 
Distinct from Rogicka by having single row of oral spines... 
This is better placed in Cribrellopora, but it could represent a new genus. 
Need check with Dennis.  (EDM leave it)


Voucher is on the rock 1466B

Voucher (whole rock) sent to Singapore to be ZRC voucher for new Arthropoma species",Orr et al. Fall 2021 MS,100% ethanol,,27.9.2019 (LHL) 8.8.2019 (EDM MHR),"MHR.2959.BLEED.1466.tif
MHR.2959.BLEED.1466.txt
MHR.2960.BLEED.1466.tif
MHR.2960.BLEED.1466.txt
MHR.3681.BLEED.1466.tif
MHR.3681.BLEED.1466.txt
MHR.3682.BLEED.1466.tif
MHR.3682.BLEED.1466.txt



MHR.3765.BLEED.1466B.tif
MHR.3765.BLEED.1466B.txt
MHR.3766.BLEED.1466B.tif
MHR.3766.BLEED.1466B.txt",,22.10.2019 (RJSO),subarensis,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lacernidae,Cheilostomatida
52 (Field code BRY_SG_2019),1467,BRY_SG_2019_Sisters,,Callopora,,,DPG,,,,very very small,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Calloporidae,Cheilostomatida
53 (Field code BRY_SG_2019),1468,BRY_SG_2019_Sisters,,Scrupocellaria?,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,,
54 (Field code BRY_SG_2019),1469,BRY_SG_2019_Sisters,,Iodictyum,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Phidoloporidae,Cheilostomatida
55 (Field code BRY_SG_2019),1470,BRY_SG_2019_Sisters,,Triphyllozoon,,,DPG,,,,"1DPG email 19.3.2021
470 Not Dakariella – identity unknown
",,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Phidoloporidae,Cheilostomatida
56 (Field code BRY_SG_2019),1471,BRY_SG_2019_Sisters,,Bryopesanser,,,DPG,3.7.2019 (RJSO),No,,"Singapore number 56 First isolation failed (major failure 300 pre summer) 
8.8.2019 (EDM MHR) CANNOT BEDONE, piece back in Fridge in case can use pre summer RJSO",,100% ethanol,,27.9.2019 (LHL) 8.8.2019 (EDM MHR),,,,latesco?,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Escharinidae,Cheilostomatida
57 (Field code BRY_SG_2019),1472,BRY_SG_2019_Sisters,,Puellina,,,DPG,,Yes,,,,100% ethanol,,,,,,sp.2,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Cribrilinidae,Cheilostomatida
59 (Field code BRY_SG_2019),1473,BRY_SG_2019_Sisters,,Parasmittina,,,DPG,,Yes,,,,100% ethanol,,,,,,sp.2,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Smittinidae,Cheilostomatida
60 (Field code BRY_SG_2019),1474,BRY_SG_2019_Sisters,,Calyptotheca,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lanceoporidae,Cheilostomatida
61 (Field code BRY_SG_2019),1475,BRY_SG_2019_Sisters,,Mucropetraliella,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Petraliellidae,Cheilostomatida
63 (Field code BRY_SG_2019),1476,BRY_SG_2019_Sisters,"MZ677656,MZ678037,OK244928",Nellia,26.9.2019 (RJSO),,"Di Martino, Emanuela",25.9.2019 (RJSO),,NHMO H 1950,"Ided in field as Cellaria by DPG, then Nelliella_sp_BLEED1476

BB: see comment above; this specimen should be ""Nellia"", not ""Nelliella"", and it is given as Nelliella nelliaformis in the tree (don't know how Nelliella is defined, but I cannot detect any character differences that may suggest that this is a different genus...ovicells are lacking, though)
LV: Nellia tenella 
",Orr et al. Fall 2021 MS,100% ethanol,,,"MHR.3495.BLEED.1476.tif
MHR.3495.BLEED.1476.txt
MHR.3496.BLEED.1476.tif
MHR.3496.BLEED.1476.txt

MHR.3627.BLEED.1476.tif
MHR.3627.BLEED.1476.txt
MHR.3628.BLEED.1476.tif
MHR.3628.BLEED.1476.txt",,26.11.2019 (RJSO),tenella,"(Lamarck, 1816)","Nellia tenella (Lamarck, 1816)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Quadricellariidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Lamarck, 1816)","Nellia tenella (Lamarck, 1816)",,,,,,,,,,,,,,,,,
64 (Field code BRY_SG_2019),1477,BRY_SG_2019_Sisters,,Smittipora,,,DPG,,Yes,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Onychocellidae,Cheilostomatida
66 (Field code BRY_SG_2019),1478,BRY_SG_2019_Sisters,,Celleporaria,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lepraliellidae,Cheilostomatida
67 (Field code BRY_SG_2019),1479,BRY_SG_2019_Sisters,,Parasmittina,,,DPG,3.7.2019 (RJSO),,,"Singapore number 67
Too small skip 9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones",,100% ethanol,,27.9.2019 (LHL),,,,sp. 2,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Smittinidae,Cheilostomatida
68 (Field code BRY_SG_2019),1480,BRY_SG_2019_Sisters,,Mucropetraliella,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Petraliellidae,Cheilostomatida
70 (Field code BRY_SG_2019),1481,BRY_SG_2019_Sisters,,Cigclisula,,,DPG,,,,,,100% ethanol,,,,,,occlusa,"(Busk, 1884)","Cigclisula occlusa (Busk, 1884)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Colatooeciidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Busk, 1884)","Cigclisula occlusa (Busk, 1884)",,,,,,,,,,,,,,,,,
74 (Field code BRY_SG_2019),1482,BRY_SG_2019_Sisters,,Celleporaria,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lepraliellidae,Cheilostomatida
75 (Field code BRY_SG_2019),1483,BRY_SG_2019_Sisters,,Hippomenella,,,DPG,,,,,,100% ethanol,,,,,,sp.,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Escharinidae,Cheilostomatida
76 (Field code BRY_SG_2019),1484,BRY_SG_2019_Sisters,,Celleporaria,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lepraliellidae,Cheilostomatida
31 (Field code BRY_SG_2019),1485,BRY_SG_2019_Sisters,"MZ678082,OK244969",Plesiocleidochasma,20.8.2019 (RJSO),,"Gordon, Dennis, P.; Di Martino, Emaneula",14.8.2019 (RJSO),No,NHMO H 1991,"Also on same rock specimen Puellina, Trypostega, Parasmittina, Buffonellaria, Disporella Singapore number 31
There are two colonies of the same species of Plesiocleidochasma in cloose proximity
Take one for SEM and one for voucher (note that there are only a few zooids)
9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones

14.8.2019 (RJSO) Qubit 3.97


Big rock to SEM",Orr et al. Fall 2021 MS,100% ethanol,,9.8.2019 (EDM LHL),"edm8077_BLEED1485.bmp
edm8078_BLEED1485.bmp
edm8079_BLEED1485.bmp
edm8080_BLEED1485.bmp
edm8081_BLEED1485.bmp
edm8082_BLEED1485.bmp
edm8083_BLEED1485.bmp
edm8084_BLEED1485.bmp",,22.10.2019 (RJSO),porcellaniforme,"(Soule, Soule & Chaney, 1991)","Plesiocleidochasma porcellaniforme (Soule, Soule & Chaney, 1991)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Phidoloporidae,Cheilostomatida
77 (Field code BRY_SG_2019),1486,BRY_SG_2019_Sisters,,Nellia,,,DPG,,,,,,100% ethanol,,,,,,tenella,"(Lamarck, 1816)","Nellia tenella (Lamarck, 1816)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Quadricellariidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Lamarck, 1816)","Nellia tenella (Lamarck, 1816)",,,,,,,,,,,,,,,,,
78 (Field code BRY_SG_2019),1487,BRY_SG_2019_Sisters,,Celleporaria,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Lepraliellidae,Cheilostomatida
79 (Field code BRY_SG_2019),1488,BRY_SG_2019_Sisters,,Parasmittina,,,DPG,3.7.2019 (RJSO),,,"
First isolation failed (major failure 300 pre summer) 
8.8.2019 (EDM MHR) Too little to redo might have to use RJSO old stuff; back in fridge with Singapore numbers",,100% ethanol,,27.9.2019 (LHL) 8.8.2019 (EDM MHR),,,,sp.3,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Smittinidae,Cheilostomatida
80 (Field code BRY_SG_2019),1489,BRY_SG_2019_Sisters,,Exechonella,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Exechonellidae,Cheilostomatida
82 (Field code BRY_SG_2019),1490,BRY_SG_2019_Sisters,,Hippomenella,,,DPG,,Yes,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Escharinidae,Cheilostomatida
83 (Field code BRY_SG_2019),1491,BRY_SG_2019_Sisters,,Smittipora,,,DPG,3.7.2019 (RJSO),,,"9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones
Since we have one Smittopora we skipped this one. But this is beautiful and can be redone Return to fridge with no more touching.",,100% ethanol,,27.9.2019 (LHL),,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Onychocellidae,Cheilostomatida
88 (Field code BRY_SG_2019),1492,BRY_SG_2019_Sisters,,Cigclisula,,,DPG,,,,,,100% ethanol,,,,,,occlusa,"(Busk, 1884)","Cigclisula occlusa (Busk, 1884)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Colatooeciidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Busk, 1884)","Cigclisula occlusa (Busk, 1884)",,,,,,,,,,,,,,,,,
89 (Field code BRY_SG_2019),1493,BRY_SG_2019_Sisters,,Puellina,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Cribrilinidae,Cheilostomatida
90 (Field code BRY_SG_2019),1494,BRY_SG_2019_Sisters,"MZ677568,MZ677927,OK244822",Cranosina,20.8.2019 (RJSO),,"Gordon, Dennis, P.",14.8.2019 (RJSO),No,NHMO H 1830,"Same rock as BLEED 1421 Singapore number 90
9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones

14.8.2019 (RJSO) Qubit 13.4

DPG email 19.3.2021
1494 (Singapore) = Cranosina coronata

sequences not right, take out (25.3.2021 discussion) --- maybe it is ok after all
",Orr et al. Fall 2021 MS,100% ethanol,,9.8.2019 (EDM LHL),"MHR.2987.BLEED.1494.tif
MHR.2987.BLEED.1494.txt
MHR.2988.BLEED.1494.tif
MHR.2988.BLEED.1494.txt
MHR.3075.BLEED.1494.tif
MHR.3075.BLEED.1494.txt
MHR.3076.BLEED.1494.tif
MHR.3076.BLEED.1494.txt
",,22.10.2019 (RJSO),coronata,"(Hincks, 1881)","Cranosina coronata (Hincks, 1881)",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Calloporidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Hincks, 1881)","Cranosina coronata (Hincks, 1881)",,,,,,,,,,,,,,,,,
91 (Field code BRY_SG_2019),1495,BRY_SG_2019_Sisters,,Smittipora,,,DPG,,,,,,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Onychocellidae,Cheilostomatida
94 (Field code BRY_SG_2019),1496,BRY_SG_2019_Sisters,,Canda,,,DPG,,,,"
NEW SG RECORD (GENUS)",,100% ethanol,,,,,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Candidae,Cheilostomatida
95 (Field code BRY_SG_2019),1497,BRY_SG_2019_Sisters,,Thornelya,,,DPG,,,,NEW SG RECORD (GENUS),,100% ethanol,,,"MHR.3767.BLEED.1497.tif
MHR.3767.BLEED.1497.txt
MHR.3768.BLEED.1497.tif
MHR.3768.BLEED.1497.txt


MHR.3817.BLEED.1497.tif
MHR.3817.BLEED.1497.txt
MHR.3818.BLEED.1497.tif
MHR.3818.BLEED.1497.txt
",,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Hippopodinidae,Cheilostomatida
96 (Field code BRY_SG_2019),1498,BRY_SG_2019_Sisters,"MZ677673,OK244948",Parasmittina,20.8.2019 (RJSO),,"Gordon, Dennis, P.; Vieira, Leandro",3.7.2019 (RJSO) 9.8.2019 (RJSO),,NHMO H 1968,"First isolation failed (major failure 300 pre summer) 
9.8.2019 (RJSO) Qubit4.46

DPG email 19.3.2021
1460, 1498 (Singapore) = Parasmittina galerita
LV: Parasmittina galerita Ryland & Hayward, 1992 
",Orr et al. Fall 2021 MS,100% ethanol,,27.9.2019 (LHL) 8.8.2019 (EDM MHR),"MHR.2911.BLEED.1498.tif
MHR.2911.BLEED.1498.txt
MHR.2912.BLEED.1498.tif
MHR.2912.BLEED.1498.txt

MHR.2945.BLEED.1498.tif
MHR.2945.BLEED.1498.txt
MHR.2946.BLEED.1498.tif
MHR.2946.BLEED.1498.txt",,22.10.2019 (RJSO),galerita,"Ryland & Hayward, 1992","PARASMITTINA GALERITA Ryland & Hayward, 1992",3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Smittinidae,Cheilostomatida
93 (Field code BRY_SG_2019),1499,BRY_SG_2019_Sisters,,Reptadeonella,,,DPG,,,,"New record for Singapore voucher, likely the same species as BLEED 1523
9.8.2019 (EDM LHL)  First isolation failed (major failure 300 pre summer) AND new ones

NEW SG RECORD",,100% ethanol,,,"MHR.3023.BLEED.1499.tif
MHR.3023.BLEED.1499.txt
MHR.3024.BLEED.1499.tif
MHR.3024.BLEED.1499.txt
MHR.3683.BLEED.1499.tif
MHR.3683.BLEED.1499.txt
MHR.3684.BLEED.1499.tif
MHR.3684.BLEED.1499.txt",,,,,,3.5.2019,BRY_SG_2019_Sisters,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,3,15,17,Coral Rubble,5,Sister's Island,1.212,103.836,,2019,Adeonidae,Cheilostomatida
98 (Field code BRY_SG_2019),1500,BRY_SG_2019_Jong,,Triphyllozoon,,,DPG,,Yes,,,,100% ethanol,,,,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Phidoloporidae,Cheilostomatida
99 (Field code BRY_SG_2019),1501,BRY_SG_2019_Jong,,Caulibugula,,,DPG,,,,,,100% ethanol,,,,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Bugulidae,Cheilostomatida
100 (Field code BRY_SG_2019),1502,BRY_SG_2019_Jong,,Parellisina,,,DPG,3.7.2019 (RJSO),,,,,100% ethanol,,27.9.2019 (LHL),,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Calloporidae,Cheilostomatida
101 (Field code BRY_SG_2019),1503,BRY_SG_2019_Jong,,Parasmittina,,,DPG,,,,,,100% ethanol,,,,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Smittinidae,Cheilostomatida
102 (Field code BRY_SG_2019),1504,BRY_SG_2019_Jong,,Celleporaria,,,DPG,,,,,,100% ethanol,,,,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Lepraliellidae,Cheilostomatida
103 (Field code BRY_SG_2019),1505,BRY_SG_2019_Jong,,Catenicella,,,DPG,,,,,,100% ethanol,,,,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Catenicellidae,Cheilostomatida
104 (Field code BRY_SG_2019),1506,BRY_SG_2019_Jong,,Catenicella,,,DPG,,,,,,100% ethanol,,,,,,,,,4.5.2019,BRY_SG_2019_Jong,"Jain, S. S.; Huang, Danwei; Kuklinski, Piotr ",Singapore,,4,13,15,,5,Pulau Jong,1.214,103.787,,2019,Catenicellidae,Cheilostomatida
